timestamp,pid1,cpu1,mem1,pid2,cpu2,mem2,kb_wrtn
20210413-174141,14960,0.0,0.8,14991,0.0,0.8,36
20210413-174146,14960,68.8,0.9,14991,66.7,0.8,88
20210413-174152,14960,73.3,0.9,14991,80.0,0.9,6512
20210413-174157,14960,86.7,0.9,14991,93.8,0.9,52
20210413-174202,14960,86.7,0.9,14991,93.3,0.9,220552
20210413-174208,14960,100.0,0.9,14991,80.0,0.9,105412
20210413-174213,14960,81.2,0.9,14991,93.3,0.9,52
20210413-174219,14960,0.0,0.9,14991,0.0,0.9,51568
20210413-174224,14960,0.0,0.9,14991,0.0,0.9,194864
20210413-174229,14960,0.0,0.9,14991,0.0,0.9,84
20210413-174235,14960,0.0,0.9,14991,0.0,0.9,36
20210413-174240,14960,0.0,0.9,14991,0.0,0.9,40
20210413-174245,14960,13.3,0.9,14991,60.0,0.9,36
20210413-174251,14960,86.7,0.9,14991,100.0,0.9,912
20210413-174256,14960,93.3,1.0,14991,66.7,0.9,80
20210413-174302,14960,62.5,1.1,14991,113.3,1.1,311916
20210413-174307,14960,80.0,1.1,14991,86.7,1.1,92
20210413-174312,14960,95.7,1.1,14991,86.7,1.1,18672
20210413-174318,14960,0.0,1.1,14991,0.0,1.1,50656
20210413-174323,14960,6.7,1.1,14991,0.0,1.1,223148
20210413-174329,14960,0.0,1.1,14991,0.0,1.1,60
20210413-174334,14960,0.0,1.1,14991,0.0,1.1,40
20210413-174339,14960,0.0,1.1,14991,0.0,1.1,36
20210413-174345,14960,0.0,1.1,14991,0.0,1.1,36
20210413-174350,14960,68.0,1.1,14991,60.0,1.1,21348
20210413-174356,14960,100.0,1.1,14991,93.3,1.1,208
20210413-174401,14960,66.7,1.1,14991,73.3,1.1,58288
20210413-174406,14960,60.0,1.1,14991,66.7,1.1,228852
20210413-174412,14960,80.0,1.1,14991,68.8,1.1,16500
20210413-174417,14960,0.0,1.1,14991,0.0,1.1,56
20210413-174423,14960,0.0,1.1,14991,0.0,1.1,60
20210413-174428,14960,0.0,1.1,14991,0.0,1.1,36
20210413-174433,14960,0.0,1.1,14991,0.0,1.1,30540
