timestamp,pid1,cpu1,mem1,pid2,cpu2,mem2,kb_wrtn
20210414-140947,7834,0.0,0.8,7865,0.0,0.8,0
20210414-140952,7834,0.0,0.8,7865,0.0,0.8,236
20210414-140957,7834,6.7,0.8,7865,6.7,0.8,56
20210414-141003,7834,66.7,0.8,7865,60.0,0.8,200
20210414-141008,7834,66.7,0.8,7865,60.0,0.8,48
20210414-141013,7834,53.3,0.8,7865,66.7,0.8,424
20210414-141019,7834,56.2,0.8,7865,60.0,0.8,96
20210414-141024,7834,60.0,0.8,7865,73.3,0.8,68
20210414-141029,7834,60.0,0.8,7865,73.3,0.8,188
20210414-141035,7834,13.3,0.8,7865,0.0,0.8,48
20210414-141040,7834,6.7,0.8,7865,0.0,0.8,124
20210414-141045,7834,6.7,0.8,7865,6.7,0.8,48
20210414-141051,7834,6.7,0.8,7865,6.7,0.8,464
20210414-141056,7834,6.2,0.8,7865,6.7,0.8,100
20210414-141101,7834,0.0,0.8,7865,0.0,0.8,220
20210414-141107,7834,6.7,0.8,7865,13.3,0.8,52
20210414-141112,7834,53.3,0.8,7865,60.0,0.8,64
20210414-141117,7834,60.0,0.8,7865,56.2,0.8,576
20210414-141123,7834,56.2,0.8,7865,60.0,0.8,40
20210414-141128,7834,53.3,0.8,7865,60.0,0.8,40
20210414-141134,7834,53.3,0.8,7865,60.0,0.8,40
20210414-141139,7834,6.7,0.8,7865,0.0,0.8,40
20210414-141144,7834,6.7,0.8,7865,6.2,0.8,384
20210414-141150,7834,0.0,0.8,7865,6.7,0.8,200
20210414-141155,7834,6.7,0.8,7865,0.0,0.8,364
20210414-141200,7834,6.7,0.8,7865,0.0,0.8,44
20210414-141206,7834,6.7,0.8,7865,6.7,0.8,40
20210414-141211,7834,6.7,0.8,7865,6.2,0.8,40
20210414-141216,7834,60.0,0.8,7865,66.7,0.8,232
20210414-141222,7834,60.0,0.8,7865,66.7,0.8,64
20210414-141227,7834,53.3,0.8,7865,33.3,0.8,508
20210414-141232,7834,53.3,0.8,7865,46.7,0.8,56
20210414-141238,7834,56.2,0.8,7865,60.0,0.8,40
20210414-141243,7834,6.7,0.8,7865,0.0,0.8,496
20210414-141248,7834,6.7,0.8,7865,13.3,0.8,52
20210414-141254,7834,13.3,0.8,7865,0.0,0.8,40
20210414-141259,7834,6.2,0.8,7865,13.3,0.8,44
20210414-141304,7834,6.7,0.8,7865,0.0,0.8,952
20210414-141310,7834,6.7,0.8,7865,0.0,0.8,40
20210414-141315,7834,6.7,0.8,7865,6.7,0.8,612
20210414-141320,7834,56.2,0.8,7865,56.2,0.8,120
20210414-141326,7834,62.5,0.8,7865,73.3,0.8,120
20210414-141331,7834,53.3,0.8,7865,53.3,0.8,40
20210414-141336,7834,43.8,0.8,7865,40.0,0.8,40
20210414-141342,7834,26.7,0.8,7865,0.0,0.8,40
20210414-141347,7834,6.7,0.8,7865,0.0,0.8,192
20210414-141352,7834,6.7,0.8,7865,6.7,0.8,552
20210414-141358,7834,0.0,0.8,7865,6.7,0.8,64
20210414-141403,7834,6.7,0.8,7865,6.7,0.8,48
20210414-141408,7834,12.5,0.8,7865,6.7,0.8,40
20210414-141414,7834,6.7,0.8,7865,6.7,0.8,188
20210414-141419,7834,5.9,0.8,7865,6.7,0.8,52
20210414-141424,7834,33.3,0.8,7865,26.7,0.8,512
20210414-141430,7834,26.7,0.8,7865,20.0,0.8,96
20210414-141435,7834,46.7,0.8,7865,13.3,0.8,68
20210414-141440,7834,53.3,0.8,7865,20.0,0.8,48
20210414-141446,7834,53.3,0.8,7865,53.3,0.8,184
20210414-141451,7834,6.7,0.8,7865,13.3,0.8,96
20210414-141457,7834,6.7,0.8,7865,6.7,0.8,40
20210414-141502,7834,13.3,0.8,7865,0.0,0.8,516
20210414-141507,7834,6.7,0.8,7865,0.0,0.8,84
20210414-141512,7834,6.2,0.8,7865,0.0,0.8,40
20210414-141518,7834,6.7,0.8,7865,6.7,0.8,196
20210414-141523,7834,6.7,0.8,7865,6.7,0.8,60
20210414-141528,7834,60.0,0.8,7865,60.0,0.8,52
20210414-141534,7834,60.0,0.8,7865,60.0,0.8,40
20210414-141539,7834,53.3,0.8,7865,60.0,0.8,592
20210414-141545,7834,66.7,0.8,7865,60.0,0.8,96
20210414-141550,7834,60.0,0.8,7865,66.7,0.8,188
20210414-141555,7834,20.0,0.8,7865,6.7,0.8,40
20210414-141601,7834,6.7,0.8,7865,0.0,0.8,48
20210414-141606,7834,6.7,0.8,7865,6.7,0.8,548
20210414-141611,7834,12.5,0.8,7865,0.0,0.8,136
20210414-141617,7834,6.7,0.8,7865,0.0,0.8,40
20210414-141622,7834,0.0,0.8,7865,13.3,0.8,448
20210414-141627,7834,6.7,0.8,7865,6.2,0.8,44
20210414-141633,7834,73.3,0.8,7865,60.0,0.8,56
20210414-141638,7834,66.7,0.8,7865,66.7,0.8,512
20210414-141643,7834,66.7,0.8,7865,53.3,0.8,192
20210414-141649,7834,73.3,0.8,7865,60.0,0.8,44
20210414-141654,7834,53.3,0.8,7865,53.3,0.8,40
20210414-141700,7834,66.7,0.8,7865,60.0,0.8,40
20210414-141705,7834,0.0,0.9,7865,0.0,0.9,52
20210414-141710,7834,6.7,0.9,7865,6.2,0.9,712
20210414-141716,7834,6.7,0.9,7865,6.2,0.9,96
20210414-141721,7834,6.7,0.9,7865,6.7,0.9,80
20210414-141726,7834,6.2,0.9,7865,6.7,0.9,504
20210414-141732,7834,6.2,0.9,7865,6.7,0.9,40
20210414-141737,7834,6.7,0.9,7865,6.7,0.9,52
20210414-141742,7834,60.0,0.9,7865,66.7,0.9,40
20210414-141748,7834,66.7,0.9,7865,60.0,0.9,44
20210414-141753,7834,60.0,0.9,7865,60.0,0.9,40
20210414-141758,7834,66.7,0.9,7865,60.0,0.9,648
20210414-141804,7834,60.0,0.9,7865,33.3,0.9,976
20210414-141809,7834,6.7,0.9,7865,6.7,0.9,40
20210414-141814,7834,6.7,0.9,7865,6.7,0.9,48
20210414-141820,7834,6.7,0.9,7865,6.7,0.9,40
20210414-141825,7834,6.7,0.9,7865,0.0,0.9,172
20210414-141830,7834,0.0,0.9,7865,6.7,0.9,56
20210414-141836,7834,6.7,0.9,7865,0.0,0.9,556
20210414-141841,7834,6.7,0.9,7865,0.0,0.9,56
20210414-141846,7834,46.7,0.9,7865,40.0,0.9,56
20210414-141852,7834,46.7,0.9,7865,26.7,0.9,40
20210414-141857,7834,46.7,0.9,7865,46.7,0.9,564
20210414-141902,7834,53.3,0.9,7865,53.3,0.9,40
20210414-141908,7834,46.7,0.9,7865,46.7,0.9,40
20210414-141913,7834,6.2,0.9,7865,6.7,0.9,428
20210414-141918,7834,12.5,0.9,7865,6.7,0.9,48
20210414-141924,7834,6.7,0.9,7865,6.7,0.9,40
20210414-141929,7834,6.2,0.9,7865,6.2,0.9,40
20210414-141934,7834,13.3,0.9,7865,6.7,0.9,40
20210414-141940,7834,6.7,0.9,7865,0.0,0.9,40
20210414-141945,7834,6.7,0.9,7865,6.7,0.9,216
20210414-141950,7834,56.2,0.9,7865,60.0,0.9,504
20210414-141956,7834,60.0,0.9,7865,33.3,0.9,52
20210414-142001,7834,60.0,0.9,7865,46.7,0.9,76
20210414-142006,7834,43.8,0.9,7865,53.3,0.9,40
20210414-142012,7834,26.7,0.9,7865,6.7,0.9,184
20210414-142017,7834,60.0,0.9,7865,53.3,0.9,484
20210414-142023,7834,6.7,0.9,7865,13.3,0.9,80
20210414-142028,7834,0.0,0.9,7865,0.0,0.9,52
20210414-142033,7834,13.3,0.9,7865,6.7,0.9,48
20210414-142039,7834,6.7,0.9,7865,0.0,0.9,40
20210414-142044,7834,0.0,0.9,7865,6.2,0.9,188
20210414-142049,7834,0.0,0.9,7865,6.7,0.9,52
20210414-142054,7834,53.3,0.9,7865,73.3,0.9,448
20210414-142100,7834,73.3,0.9,7865,60.0,0.9,100
20210414-142105,7834,46.7,0.9,7865,40.0,0.9,40
20210414-142111,7834,66.7,0.9,7865,26.7,0.9,52
20210414-142116,7834,40.0,0.9,7865,46.7,0.9,192
20210414-142121,7834,20.0,0.9,7865,26.7,0.9,88
20210414-142127,7834,6.7,0.9,7865,0.0,0.9,44
20210414-142132,7834,13.3,0.9,7865,0.0,0.9,512
20210414-142137,7834,6.7,0.9,7865,6.7,0.9,44
20210414-142143,7834,0.0,0.9,7865,13.3,0.9,236
20210414-142148,7834,6.7,0.9,7865,13.3,0.9,184
20210414-142153,7834,6.7,0.9,7865,6.2,0.9,56
20210414-142159,7834,6.7,0.9,7865,20.0,0.9,40
20210414-142204,7834,46.7,0.9,7865,33.3,0.9,436
20210414-142209,7834,26.7,0.9,7865,60.0,0.9,84
20210414-142215,7834,33.3,0.9,7865,46.7,0.9,184
20210414-142220,7834,53.3,0.9,7865,60.0,0.9,52
20210414-142225,7834,60.0,0.9,7865,56.2,0.9,40
20210414-142231,7834,13.3,0.9,7865,13.3,0.9,52
20210414-142236,7834,6.7,0.9,7865,0.0,0.9,64
20210414-142241,7834,5.9,0.9,7865,0.0,0.9,496
20210414-142247,7834,6.7,0.9,7865,13.3,0.9,272
20210414-142252,7834,6.7,0.9,7865,0.0,0.9,40
20210414-142257,7834,6.7,0.9,7865,0.0,0.9,44
20210414-142303,7834,6.2,0.9,7865,6.7,0.9,948
20210414-142308,7834,13.3,0.9,7865,6.2,0.9,52
20210414-142313,7834,6.2,0.9,7865,6.7,0.9,88
20210414-142319,7834,6.7,0.9,7865,12.5,0.9,612
