timestamp,pid1,cpu1,mem1,pid2,cpu2,mem2
20210407-120003,4964,0.0,1.3,4997,0.0,1.2,
20210407-120008,4964,0.0,1.3,4997,0.0,1.2,
20210407-120014,4964,80.0,1.3,4997,80.0,1.2,
20210407-120019,4964,86.7,1.3,4997,80.0,1.2,
20210407-120024,4964,93.3,1.4,4997,66.7,1.2,
20210407-120030,4964,86.7,1.4,4997,81.2,1.3,
20210407-120035,4964,80.0,1.4,4997,81.2,1.3,
20210407-120041,4964,0.0,1.4,4997,0.0,1.3,
20210407-120046,4964,0.0,1.4,4997,0.0,1.3,
20210407-120051,4964,0.0,1.4,4997,0.0,1.3,
20210407-120057,4964,0.0,1.4,4997,0.0,1.3,
20210407-120102,4964,0.0,1.4,4997,0.0,1.3,
20210407-120107,4964,0.0,1.4,4997,0.0,1.3,
