timestamp,pid1,cpu1,mem1,pid2,cpu2,mem2
20210408-091011,4837,60.0,0.9,4869,56.2,0.8,
20210408-091016,4837,60.0,0.9,4869,53.3,0.8,
20210408-091021,4837,60.0,0.9,4869,66.7,0.8,
20210408-091027,4837,0.0,0.9,4869,0.0,0.8,
20210408-091032,4837,0.0,0.9,4869,0.0,0.8,
20210408-091037,4837,0.0,0.9,4869,0.0,0.8,
20210408-091043,4837,0.0,0.9,4869,6.7,0.8,
20210408-091048,4837,6.2,0.9,4869,0.0,0.8,
20210408-091053,4837,0.0,0.9,4869,0.0,0.8,
20210408-091059,4837,60.0,0.9,4869,60.0,0.8,
20210408-091104,4837,53.3,0.9,4869,53.3,0.8,
20210408-091109,4837,53.3,0.9,4869,60.0,0.8,
20210408-091115,4837,60.0,0.9,4869,53.3,0.8,
20210408-091120,4837,73.3,0.9,4869,66.7,0.8,
20210408-091125,4837,53.3,0.9,4869,60.0,0.8,
20210408-091131,4837,0.0,0.9,4869,0.0,0.8,
20210408-091136,4837,0.0,0.9,4869,0.0,0.8,
20210408-091141,4837,0.0,0.9,4869,0.0,0.8,
20210408-091147,4837,6.7,0.9,4869,0.0,0.8,
20210408-091152,4837,0.0,0.9,4869,0.0,0.8,
20210408-091157,4837,6.7,0.9,4869,0.0,0.8,
20210408-091203,4837,66.7,0.9,4869,62.5,0.8,
20210408-091208,4837,60.0,0.9,4869,60.0,0.8,
20210408-091213,4837,60.0,0.9,4869,60.0,0.8,
20210408-091219,4837,60.0,0.9,4869,60.0,0.8,
20210408-091224,4837,66.7,0.9,4869,66.7,0.8,
20210408-091229,4837,60.0,0.9,4869,60.0,0.8,
20210408-091235,4837,0.0,0.9,4869,0.0,0.8,
20210408-091240,4837,0.0,0.9,4869,0.0,0.8,
20210408-091245,4837,0.0,0.9,4869,0.0,0.8,
20210408-091251,4837,0.0,0.9,4869,0.0,0.8,
20210408-091256,4837,0.0,0.9,4869,0.0,0.8,
20210408-091301,4837,0.0,0.9,4869,0.0,0.8,
20210408-091307,4837,60.0,0.9,4869,50.0,0.8,
20210408-091312,4837,73.3,0.9,4869,73.3,0.8,
20210408-091317,4837,56.2,0.9,4869,62.5,0.8,
20210408-091323,4837,60.0,0.9,4869,60.0,0.8,
20210408-091328,4837,66.7,0.9,4869,56.2,0.8,
20210408-091333,4837,0.0,0.9,4869,0.0,0.8,
20210408-091339,4837,6.7,0.9,4869,0.0,0.8,
20210408-091344,4837,0.0,0.9,4869,0.0,0.8,
20210408-091349,4837,0.0,0.9,4869,0.0,0.8,
20210408-091355,4837,0.0,0.9,4869,0.0,0.8,
20210408-091400,4837,0.0,0.9,4869,0.0,0.8,
20210408-091405,4837,60.0,0.9,4869,60.0,0.8,
20210408-091411,4837,53.3,0.9,4869,60.0,0.8,
20210408-091416,4837,66.7,0.9,4869,56.2,0.8,
20210408-091421,4837,60.0,0.9,4869,60.0,0.8,
20210408-091427,4837,60.0,0.9,4869,60.0,0.8,
20210408-091432,4837,60.0,0.9,4869,53.3,0.8,
20210408-091438,4837,0.0,0.9,4869,5.9,0.8,
20210408-091443,4837,0.0,0.9,4869,0.0,0.8,
20210408-091448,4837,0.0,0.9,4869,0.0,0.8,
20210408-091454,4837,6.2,0.9,4869,0.0,0.8,
20210408-091459,4837,0.0,0.9,4869,0.0,0.8,
20210408-091504,4837,0.0,0.9,4869,0.0,0.8,
20210408-091509,4837,53.3,0.9,4869,60.0,0.8,
20210408-091515,4837,60.0,0.9,4869,53.3,0.8,
20210408-091520,4837,53.3,0.9,4869,53.3,0.8,
20210408-091526,4837,60.0,0.9,4869,53.3,0.8,
20210408-091531,4837,66.7,0.9,4869,60.0,0.8,
20210408-091536,4837,60.0,0.9,4869,60.0,0.8,
20210408-091542,4837,6.7,0.9,4869,0.0,0.8,
20210408-091547,4837,0.0,0.9,4869,6.7,0.8,
20210408-091552,4837,0.0,0.9,4869,0.0,0.8,
20210408-091558,4837,6.2,0.9,4869,0.0,0.8,
20210408-091603,4837,0.0,0.9,4869,6.7,0.8,
20210408-091608,4837,60.0,0.9,4869,60.0,0.8,
20210408-091614,4837,60.0,0.9,4869,56.2,0.8,
20210408-091619,4837,60.0,0.9,4869,53.3,0.8,
20210408-091624,4837,60.0,0.9,4869,56.2,0.8,
20210408-091630,4837,60.0,0.9,4869,56.2,0.8,
20210408-091635,4837,66.7,0.9,4869,66.7,0.8,
20210408-091640,4837,0.0,0.9,4869,0.0,0.8,
20210408-091646,4837,0.0,0.9,4869,0.0,0.8,
20210408-091651,4837,0.0,0.9,4869,0.0,0.8,
20210408-091656,4837,0.0,0.9,4869,0.0,0.8,
20210408-091702,4837,0.0,0.9,4869,0.0,0.8,
20210408-091707,4837,0.0,0.9,4869,0.0,0.8,
20210408-091712,4837,0.0,0.9,4869,0.0,0.8,
