timestamp,pid1,cpu1,mem1,pid2,cpu2,mem2
20210408-090637,4837,0.0,0.8,4869,0.0,0.8,
20210408-090642,4837,0.0,0.8,4869,0.0,0.8,
20210408-090648,4837,60.0,0.8,4869,60.0,0.8,
20210408-090653,4837,66.7,0.8,4869,60.0,0.8,
20210408-090658,4837,66.7,0.8,4869,60.0,0.8,
20210408-090704,4837,66.7,0.8,4869,60.0,0.8,
20210408-090709,4837,66.7,0.8,4869,62.5,0.8,
20210408-090715,4837,60.0,0.9,4869,60.0,0.8,
20210408-090720,4837,0.0,0.9,4869,0.0,0.8,
20210408-090725,4837,0.0,0.9,4869,0.0,0.8,
20210408-090731,4837,0.0,0.9,4869,0.0,0.8,
20210408-090736,4837,0.0,0.9,4869,0.0,0.8,
20210408-090741,4837,0.0,0.9,4869,6.7,0.8,
20210408-090746,4837,0.0,0.9,4869,0.0,0.8,
20210408-090752,4837,60.0,0.9,4869,53.3,0.8,
20210408-090757,4837,60.0,0.9,4869,60.0,0.8,
20210408-090803,4837,53.3,0.9,4869,60.0,0.8,
20210408-090808,4837,66.7,0.9,4869,66.7,0.8,
20210408-090813,4837,60.0,0.9,4869,60.0,0.8,
20210408-090819,4837,53.3,0.9,4869,53.3,0.8,
20210408-090824,4837,0.0,0.9,4869,0.0,0.8,
20210408-090829,4837,0.0,0.9,4869,0.0,0.8,
20210408-090835,4837,0.0,0.9,4869,0.0,0.8,
20210408-090840,4837,0.0,0.9,4869,0.0,0.8,
20210408-090845,4837,0.0,0.9,4869,6.7,0.8,
20210408-090851,4837,0.0,0.9,4869,6.7,0.8,
20210408-090856,4837,60.0,0.9,4869,60.0,0.8,
20210408-090901,4837,56.2,0.9,4869,56.2,0.8,
20210408-090907,4837,60.0,0.9,4869,60.0,0.8,
20210408-090912,4837,60.0,0.9,4869,60.0,0.8,
20210408-090917,4837,53.3,0.9,4869,53.3,0.8,
20210408-090923,4837,60.0,0.9,4869,66.7,0.8,
20210408-090928,4837,0.0,0.9,4869,6.2,0.8,
20210408-090933,4837,6.7,0.9,4869,6.7,0.8,
20210408-090939,4837,0.0,0.9,4869,0.0,0.8,
20210408-090944,4837,6.7,0.9,4869,0.0,0.8,
20210408-090949,4837,0.0,0.9,4869,0.0,0.8,
20210408-090955,4837,60.0,0.9,4869,53.3,0.8,
20210408-091000,4837,60.0,0.9,4869,60.0,0.8,
20210408-091005,4837,66.7,0.9,4869,53.3,0.8,
