id,sent_mbps,retransmits,time,cpu_load,total_time
1,1.453389592008,0,20210406-120922,0.041211,64.5765368938446
2,1.4330980038330001,0,20210406-121057,0.033713,38.32592225074768
3,12.666776220223001,234,20210406-121205,0.13643,44.10180354118347
4,12.038265772983,294,20210406-121320,0.099043,35.244412660598755
5,8.703492707852,775,20210406-121425,0.058613,31.48291301727295
6,14.007586978864,2,20210406-121527,0.077517,32.20004487037659
7,13.680637861209,742,20210406-121629,0.132537,31.265766620635986
8,13.680022972943002,430,20210406-121730,0.105605,31.36426568031311
9,13.762828057303,9,20210406-121832,0.114594,32.29110932350159
10,14.983634661013001,811,20210406-121934,0.152269,31.86001229286194
