timestamp,pid1,cpu1,mem1,pid2,cpu2,mem2
20210406-131540,7540,0.0,0.9,7572,0.0,0.9,
20210406-131545,7540,0.0,0.9,7572,0.0,0.9,
20210406-131550,7540,46.7,0.9,7572,60.0,0.9,
20210406-131556,7540,60.0,0.9,7572,62.5,0.9,
20210406-131601,7540,53.3,0.9,7572,43.8,0.9,
20210406-131606,7540,60.0,0.9,7572,66.7,0.9,
20210406-131612,7540,56.2,0.9,7572,60.0,0.9,
20210406-131617,7540,60.0,0.9,7572,66.7,0.9,
20210406-131622,7540,0.0,0.9,7572,6.7,0.9,
20210406-131628,7540,0.0,0.9,7572,0.0,0.9,
20210406-131633,7540,0.0,0.9,7572,0.0,0.9,
20210406-131638,7540,0.0,0.9,7572,0.0,0.9,
20210406-131644,7540,0.0,0.9,7572,0.0,0.9,
20210406-131649,7540,0.0,0.9,7572,0.0,0.9,
20210406-131654,7540,60.0,0.9,7572,60.0,0.9,
20210406-131700,7540,53.3,0.9,7572,60.0,0.9,
20210406-131705,7540,60.0,0.9,7572,60.0,0.9,
20210406-131710,7540,66.7,0.9,7572,66.7,0.9,
20210406-131716,7540,60.0,0.9,7572,66.7,0.9,
20210406-131721,7540,53.3,0.9,7572,62.5,0.9,
20210406-131726,7540,0.0,0.9,7572,6.2,0.9,
20210406-131732,7540,0.0,0.9,7572,0.0,0.9,
20210406-131737,7540,0.0,0.9,7572,0.0,0.9,
20210406-131742,7540,6.2,0.9,7572,0.0,0.9,
20210406-131748,7540,0.0,0.9,7572,0.0,0.9,
20210406-131753,7540,0.0,0.9,7572,0.0,0.9,
20210406-131758,7540,60.0,0.9,7572,53.3,0.9,
20210406-131804,7540,66.7,0.9,7572,60.0,0.9,
20210406-131809,7540,60.0,0.9,7572,60.0,0.9,
20210406-131814,7540,66.7,0.9,7572,56.2,0.9,
20210406-131820,7540,53.3,0.9,7572,60.0,0.9,
20210406-131825,7540,60.0,0.9,7572,73.3,0.9,
20210406-131830,7540,0.0,0.9,7572,0.0,0.9,
20210406-131836,7540,0.0,0.9,7572,0.0,0.9,
20210406-131841,7540,0.0,0.9,7572,0.0,0.9,
20210406-131846,7540,0.0,0.9,7572,6.2,0.9,
20210406-131852,7540,0.0,0.9,7572,0.0,0.9,
20210406-131857,7540,66.7,0.9,7572,60.0,0.9,
20210406-131902,7540,50.0,0.9,7572,53.3,0.9,
20210406-131908,7540,53.3,0.9,7572,53.3,0.9,
20210406-131913,7540,53.3,0.9,7572,56.2,0.9,
20210406-131918,7540,60.0,0.9,7572,60.0,0.9,
20210406-131924,7540,60.0,0.9,7572,66.7,0.9,
20210406-131929,7540,6.7,0.9,7572,0.0,0.9,
20210406-131934,7540,0.0,0.9,7572,0.0,0.9,
20210406-131940,7540,0.0,0.9,7572,0.0,0.9,
20210406-131945,7540,0.0,0.9,7572,0.0,0.9,
20210406-131950,7540,0.0,0.9,7572,0.0,0.9,
20210406-131956,7540,0.0,0.9,7572,0.0,0.9,
20210406-132001,7540,53.3,0.9,7572,60.0,0.9,
20210406-132006,7540,60.0,0.9,7572,53.3,0.9,
20210406-132012,7540,60.0,0.9,7572,60.0,0.9,
20210406-132017,7540,66.7,0.9,7572,66.7,0.9,
20210406-132022,7540,66.7,0.9,7572,66.7,0.9,
20210406-132028,7540,66.7,0.9,7572,66.7,0.9,
20210406-132033,7540,6.7,0.9,7572,0.0,0.9,
20210406-132038,7540,0.0,0.9,7572,6.7,0.9,
20210406-132044,7540,0.0,0.9,7572,0.0,0.9,
20210406-132049,7540,0.0,0.9,7572,0.0,0.9,
20210406-132054,7540,6.7,0.9,7572,0.0,0.9,
20210406-132100,7540,56.2,0.9,7572,56.2,0.9,
20210406-132105,7540,60.0,0.9,7572,53.3,0.9,
20210406-132110,7540,53.3,0.9,7572,66.7,0.9,
20210406-132116,7540,56.2,0.9,7572,60.0,0.9,
20210406-132121,7540,60.0,0.9,7572,66.7,0.9,
20210406-132126,7540,53.3,0.9,7572,60.0,0.9,
20210406-132132,7540,0.0,0.9,7572,0.0,0.9,
20210406-132137,7540,6.7,0.9,7572,0.0,0.9,
20210406-132142,7540,0.0,0.9,7572,0.0,0.9,
20210406-132148,7540,0.0,0.9,7572,0.0,0.9,
20210406-132153,7540,0.0,0.9,7572,0.0,0.9,
20210406-132158,7540,0.0,0.9,7572,0.0,0.9,
20210406-132204,7540,53.3,0.9,7572,53.3,0.9,
20210406-132209,7540,66.7,0.9,7572,66.7,0.9,
20210406-132214,7540,60.0,0.9,7572,60.0,0.9,
20210406-132220,7540,60.0,0.9,7572,56.2,0.9,
20210406-132225,7540,60.0,0.9,7572,66.7,0.9,
20210406-132231,7540,66.7,0.9,7572,73.3,0.9,
20210406-132236,7540,0.0,0.9,7572,0.0,0.9,
20210406-132241,7540,0.0,0.9,7572,0.0,0.9,
20210406-132247,7540,0.0,0.9,7572,0.0,0.9,
20210406-132252,7540,0.0,0.9,7572,0.0,0.9,
20210406-132257,7540,6.7,0.9,7572,0.0,0.9,
20210406-132302,7540,56.2,0.9,7572,60.0,0.9,
20210406-132308,7540,60.0,0.9,7572,60.0,0.9,
20210406-132313,7540,53.3,0.9,7572,53.3,0.9,
20210406-132319,7540,73.3,0.9,7572,68.8,0.9,
20210406-132324,7540,53.3,0.9,7572,53.3,0.9,
20210406-132329,7540,60.0,0.9,7572,53.3,0.9,
20210406-132335,7540,0.0,0.9,7572,0.0,0.9,
20210406-132340,7540,0.0,0.9,7572,0.0,0.9,
20210406-132345,7540,0.0,0.9,7572,0.0,0.9,
20210406-132351,7540,0.0,0.9,7572,0.0,0.9,
20210406-132356,7540,0.0,0.9,7572,6.7,0.9,
20210406-132401,7540,0.0,0.9,7572,0.0,0.9,
20210406-132407,7540,53.3,0.9,7572,53.3,0.9,
20210406-132412,7540,60.0,0.9,7572,60.0,0.9,
20210406-132417,7540,53.3,0.9,7572,53.3,0.9,
20210406-132423,7540,60.0,0.9,7572,53.3,0.9,
20210406-132428,7540,53.3,0.9,7572,50.0,0.9,
20210406-132433,7540,53.3,0.9,7572,60.0,0.9,
20210406-132439,7540,6.7,0.9,7572,6.7,0.9,
20210406-132444,7540,0.0,0.9,7572,0.0,0.9,
20210406-132449,7540,0.0,0.9,7572,0.0,0.9,
20210406-132455,7540,0.0,0.9,7572,6.7,0.9,
20210406-132500,7540,0.0,0.9,7572,6.7,0.9,
20210406-132505,7540,0.0,0.9,7572,13.3,0.9,
20210406-132511,7540,60.0,0.9,7572,56.2,0.9,
20210406-132516,7540,53.3,0.9,7572,50.0,0.9,
20210406-132521,7540,60.0,0.9,7572,53.3,0.9,
20210406-132527,7540,53.3,0.9,7572,60.0,0.9,
20210406-132532,7540,53.3,0.9,7572,53.3,0.9,
20210406-132537,7540,73.3,0.9,7572,66.7,0.9,
20210406-132543,7540,0.0,0.9,7572,0.0,0.9,
20210406-132548,7540,6.7,0.9,7572,0.0,0.9,
20210406-132553,7540,0.0,0.9,7572,0.0,0.9,
20210406-132559,7540,0.0,0.9,7572,0.0,0.9,
20210406-132604,7540,0.0,0.9,7572,0.0,0.9,
20210406-132609,7540,0.0,0.9,7572,6.7,0.9,
