timestamp,pid1,cpu1,mem1,pid2,cpu2,mem2
20210406-152234,21593,0.0,0.9,21627,0.0,0.9,
20210406-152239,21593,81.2,0.9,21627,86.7,0.9,
20210406-152244,21593,86.7,0.9,21627,80.0,1.0,
20210406-152250,21593,93.3,0.9,21627,73.3,1.0,
20210406-152255,21593,75.0,0.9,21627,80.0,1.0,
20210406-152300,21593,86.7,0.9,21627,80.0,1.0,
20210406-152306,21593,100.0,1.0,21627,86.7,1.0,
20210406-152311,21593,0.0,1.0,21627,0.0,1.0,
20210406-152316,21593,0.0,1.0,21627,0.0,1.0,
20210406-152322,21593,0.0,1.0,21627,0.0,1.0,
20210406-152327,21593,0.0,1.0,21627,0.0,1.0,
20210406-152332,21593,0.0,1.0,21627,0.0,1.0,
20210406-152338,21593,80.0,1.0,21627,66.7,1.0,
20210406-152343,21593,93.3,1.0,21627,73.3,1.0,
20210406-152348,21593,73.3,1.0,21627,81.2,1.0,
20210406-152354,21593,93.3,1.0,21627,73.3,1.0,
20210406-152359,21593,80.0,1.0,21627,73.3,1.0,
20210406-152404,21593,73.3,1.0,21627,73.3,1.0,
20210406-152410,21593,0.0,1.0,21627,0.0,1.0,
20210406-152415,21593,0.0,1.0,21627,0.0,1.0,
20210406-152420,21593,0.0,1.0,21627,0.0,1.0,
20210406-152426,21593,0.0,1.0,21627,0.0,1.0,
20210406-152431,21593,0.0,1.0,21627,0.0,1.0,
20210406-152436,21593,0.0,1.0,21627,0.0,1.0,
20210406-152442,21593,93.3,1.0,21627,73.3,1.0,
20210406-152447,21593,80.0,1.0,21627,80.0,1.0,
20210406-152452,21593,93.3,1.0,21627,80.0,1.0,
20210406-152458,21593,93.3,1.0,21627,93.3,1.0,
20210406-152503,21593,93.3,1.2,21627,86.7,1.2,
20210406-152509,21593,93.3,1.2,21627,80.0,1.2,
20210406-152514,21593,0.0,1.2,21627,0.0,1.2,
20210406-152519,21593,0.0,1.2,21627,6.7,1.2,
20210406-152525,21593,0.0,1.2,21627,0.0,1.2,
20210406-152530,21593,0.0,1.2,21627,0.0,1.2,
20210406-152535,21593,0.0,1.2,21627,0.0,1.2,
20210406-152541,21593,68.8,1.2,21627,80.0,1.2,
20210406-152546,21593,86.7,1.2,21627,93.3,1.2,
20210406-152551,21593,86.7,1.2,21627,80.0,1.2,
20210406-152557,21593,100.0,1.2,21627,86.7,1.2,
20210406-152602,21593,80.0,1.2,21627,86.7,1.2,
20210406-152608,21593,80.0,1.2,21627,73.3,1.2,
20210406-152613,21593,0.0,1.2,21627,0.0,1.2,
20210406-152618,21593,0.0,1.2,21627,0.0,1.2,
20210406-152624,21593,0.0,1.2,21627,0.0,1.2,
20210406-152629,21593,0.0,1.2,21627,0.0,1.2,
20210406-152634,21593,0.0,1.2,21627,0.0,1.2,
20210406-152640,21593,0.0,1.2,21627,0.0,1.2,
20210406-152645,21593,86.7,1.2,21627,86.7,1.2,
20210406-152650,21593,86.7,1.2,21627,86.7,1.2,
20210406-152656,21593,106.7,1.2,21627,81.2,1.2,
20210406-152701,21593,86.7,1.2,21627,75.0,1.2,
20210406-152706,21593,86.7,1.2,21627,66.7,1.2,
20210406-152712,21593,86.7,1.2,21627,93.3,1.2,
20210406-152717,21593,0.0,1.2,21627,0.0,1.2,
20210406-152722,21593,0.0,1.2,21627,0.0,1.2,
20210406-152728,21593,0.0,1.2,21627,0.0,1.2,
20210406-152733,21593,0.0,1.2,21627,0.0,1.2,
20210406-152738,21593,0.0,1.2,21627,0.0,1.2,
20210406-152744,21593,80.0,1.2,21627,73.3,1.2,
20210406-152749,21593,93.3,1.2,21627,87.5,1.2,
20210406-152754,21593,75.0,1.2,21627,73.3,1.2,
