timestamp,pid1,cpu1,mem1,pid2,cpu2,mem2
20210406-152800,21593,86.7,1.2,21627,86.7,1.2,
20210406-152805,21593,86.7,1.2,21627,86.7,1.2,
20210406-152810,21593,93.3,1.2,21627,93.3,1.2,
20210406-152816,21593,0.0,1.2,21627,0.0,1.2,
20210406-152821,21593,0.0,1.2,21627,0.0,1.2,
20210406-152827,21593,0.0,1.2,21627,0.0,1.2,
20210406-152832,21593,0.0,1.2,21627,0.0,1.2,
20210406-152837,21593,0.0,1.2,21627,0.0,1.2,
20210406-152843,21593,0.0,1.2,21627,0.0,1.2,
20210406-152848,21593,86.7,1.2,21627,73.3,1.2,
20210406-152853,21593,86.7,1.2,21627,86.7,1.2,
20210406-152859,21593,86.7,1.2,21627,73.3,1.2,
20210406-152904,21593,80.0,1.2,21627,86.7,1.2,
20210406-152909,21593,106.7,1.2,21627,100.0,1.2,
20210406-152915,21593,80.0,1.2,21627,86.7,1.2,
20210406-152920,21593,0.0,1.2,21627,0.0,1.2,
20210406-152925,21593,0.0,1.2,21627,0.0,1.2,
20210406-152931,21593,0.0,1.2,21627,0.0,1.2,
20210406-152936,21593,0.0,1.2,21627,0.0,1.2,
20210406-152941,21593,0.0,1.2,21627,0.0,1.2,
20210406-152947,21593,0.0,1.2,21627,0.0,1.2,
20210406-152952,21593,93.3,1.2,21627,93.3,1.2,
20210406-152957,21593,93.3,1.2,21627,80.0,1.2,
20210406-153003,21593,86.7,1.2,21627,73.3,1.2,
20210406-153008,21593,86.7,1.2,21627,75.0,1.2,
20210406-153013,21593,86.7,1.2,21627,86.7,1.2,
20210406-153019,21593,0.0,1.2,21627,0.0,1.2,
20210406-153024,21593,0.0,1.2,21627,0.0,1.2,
20210406-153030,21593,0.0,1.2,21627,0.0,1.2,
20210406-153035,21593,0.0,1.2,21627,0.0,1.2,
20210406-153040,21593,0.0,1.2,21627,0.0,1.2,
20210406-153046,21593,0.0,1.2,21627,0.0,1.2,
20210406-153051,21593,93.3,1.2,21627,80.0,1.2,
20210406-153056,21593,86.7,1.2,21627,80.0,1.2,
20210406-153102,21593,86.7,1.2,21627,73.3,1.2,
20210406-153107,21593,86.7,1.2,21627,93.3,1.2,
20210406-153112,21593,87.5,1.2,21627,66.7,1.2,
20210406-153118,21593,100.0,1.2,21627,73.3,1.2,
20210406-153123,21593,0.0,1.2,21627,0.0,1.2,
20210406-153128,21593,0.0,1.2,21627,0.0,1.2,
20210406-153134,21593,0.0,1.2,21627,0.0,1.2,
20210406-153139,21593,0.0,1.2,21627,0.0,1.2,
20210406-153144,21593,0.0,1.2,21627,0.0,1.2,
20210406-153150,21593,86.7,1.2,21627,86.7,1.2,
20210406-153155,21593,80.0,1.2,21627,86.7,1.2,
20210406-153200,21593,86.7,1.2,21627,73.3,1.2,
20210406-153206,21593,86.7,1.2,21627,86.7,1.2,
20210406-153211,21593,93.3,1.2,21627,81.2,1.2,
20210406-153217,21593,86.7,1.2,21627,86.7,1.4,
20210406-153222,21593,0.0,1.2,21627,0.0,1.4,
20210406-153227,21593,0.0,1.2,21627,0.0,1.4,
20210406-153233,21593,0.0,1.2,21627,0.0,1.4,
20210406-153238,21593,0.0,1.2,21627,0.0,1.4,
20210406-153243,21593,0.0,1.2,21627,0.0,1.4,
20210406-153249,21593,0.0,1.2,21627,0.0,1.4,
