timestamp,pid1,cpu1,mem1,pid2,cpu2,mem2
20210406-125755,7540,46.7,0.9,7572,53.3,0.9,
20210406-125800,7540,53.3,0.9,7572,66.7,0.9,
20210406-125805,7540,66.7,0.9,7572,66.7,0.9,
20210406-125811,7540,60.0,0.9,7572,53.3,0.9,
20210406-125816,7540,66.7,0.9,7572,53.3,0.9,
20210406-125821,7540,53.3,0.9,7572,60.0,0.9,
20210406-125827,7540,0.0,0.9,7572,0.0,0.9,
20210406-125832,7540,0.0,0.9,7572,6.2,0.9,
20210406-125837,7540,0.0,0.9,7572,0.0,0.9,
20210406-125843,7540,0.0,0.9,7572,0.0,0.9,
20210406-125848,7540,0.0,0.9,7572,0.0,0.9,
20210406-125853,7540,0.0,0.9,7572,0.0,0.9,
20210406-125859,7540,66.7,0.9,7572,60.0,0.9,
20210406-125904,7540,56.2,0.9,7572,66.7,0.9,
20210406-125909,7540,53.3,0.9,7572,53.3,0.9,
20210406-125915,7540,53.3,0.9,7572,53.3,0.9,
20210406-125920,7540,66.7,0.9,7572,66.7,0.9,
20210406-125925,7540,53.3,0.9,7572,60.0,0.9,
20210406-125931,7540,0.0,0.9,7572,0.0,0.9,
20210406-125936,7540,0.0,0.9,7572,0.0,0.9,
20210406-125941,7540,0.0,0.9,7572,0.0,0.9,
20210406-125947,7540,0.0,0.9,7572,0.0,0.9,
20210406-125952,7540,0.0,0.9,7572,0.0,0.9,
20210406-125957,7540,0.0,0.9,7572,0.0,0.9,
20210406-130003,7540,53.3,0.9,7572,66.7,0.9,
20210406-130008,7540,56.2,0.9,7572,53.3,0.9,
20210406-130013,7540,60.0,0.9,7572,66.7,0.9,
20210406-130019,7540,66.7,0.9,7572,66.7,0.9,
20210406-130024,7540,56.2,0.9,7572,66.7,0.9,
20210406-130029,7540,56.2,0.9,7572,73.3,0.9,
20210406-130035,7540,0.0,0.9,7572,0.0,0.9,
20210406-130040,7540,0.0,0.9,7572,0.0,0.9,
20210406-130045,7540,0.0,0.9,7572,0.0,0.9,
20210406-130051,7540,0.0,0.9,7572,0.0,0.9,
20210406-130056,7540,0.0,0.9,7572,0.0,0.9,
20210406-130101,7540,60.0,0.9,7572,53.3,0.9,
20210406-130107,7540,66.7,0.9,7572,60.0,0.9,
20210406-130112,7540,60.0,0.9,7572,66.7,0.9,
20210406-130117,7540,66.7,0.9,7572,66.7,0.9,
20210406-130123,7540,66.7,0.9,7572,60.0,0.9,
20210406-130128,7540,66.7,0.9,7572,73.3,0.9,
20210406-130133,7540,6.7,0.9,7572,0.0,0.9,
20210406-130139,7540,0.0,0.9,7572,0.0,0.9,
20210406-130144,7540,0.0,0.9,7572,0.0,0.9,
20210406-130149,7540,0.0,0.9,7572,0.0,0.9,
20210406-130155,7540,0.0,0.9,7572,0.0,0.9,
20210406-130200,7540,0.0,0.9,7572,0.0,0.9,
20210406-130205,7540,60.0,0.9,7572,60.0,0.9,
20210406-130211,7540,53.3,0.9,7572,66.7,0.9,
20210406-130216,7540,66.7,0.9,7572,56.2,0.9,
20210406-130221,7540,60.0,0.9,7572,66.7,0.9,
20210406-130227,7540,60.0,0.9,7572,53.3,0.9,
20210406-130232,7540,73.3,0.9,7572,73.3,0.9,
20210406-130237,7540,0.0,0.9,7572,0.0,0.9,
20210406-130243,7540,0.0,0.9,7572,0.0,0.9,
20210406-130248,7540,0.0,0.9,7572,0.0,0.9,
20210406-130253,7540,0.0,0.9,7572,0.0,0.9,
20210406-130259,7540,0.0,0.9,7572,0.0,0.9,
20210406-130304,7540,60.0,0.9,7572,60.0,0.9,
20210406-130309,7540,53.3,0.9,7572,60.0,0.9,
20210406-130315,7540,60.0,0.9,7572,60.0,0.9,
20210406-130320,7540,60.0,0.9,7572,66.7,0.9,
20210406-130325,7540,60.0,0.9,7572,60.0,0.9,
20210406-130331,7540,60.0,0.9,7572,60.0,0.9,
20210406-130336,7540,0.0,0.9,7572,0.0,0.9,
20210406-130341,7540,0.0,0.9,7572,0.0,0.9,
20210406-130347,7540,0.0,0.9,7572,0.0,0.9,
20210406-130352,7540,0.0,0.9,7572,0.0,0.9,
20210406-130357,7540,0.0,0.9,7572,0.0,0.9,
20210406-130403,7540,6.2,0.9,7572,0.0,0.9,
20210406-130408,7540,60.0,0.9,7572,60.0,0.9,
20210406-130413,7540,66.7,0.9,7572,73.3,0.9,
20210406-130419,7540,66.7,0.9,7572,53.3,0.9,
20210406-130424,7540,60.0,0.9,7572,60.0,0.9,
20210406-130429,7540,53.3,0.9,7572,60.0,0.9,
20210406-130435,7540,53.3,0.9,7572,60.0,0.9,
20210406-130440,7540,0.0,0.9,7572,0.0,0.9,
20210406-130446,7540,0.0,0.9,7572,0.0,0.9,
20210406-130451,7540,0.0,0.9,7572,0.0,0.9,
20210406-130456,7540,0.0,0.9,7572,0.0,0.9,
20210406-130501,7540,0.0,0.9,7572,0.0,0.9,
20210406-130507,7540,40.0,0.9,7572,26.7,0.9,
20210406-130512,7540,53.3,0.9,7572,56.2,0.9,
20210406-130517,7540,60.0,0.9,7572,66.7,0.9,
20210406-130523,7540,53.3,0.9,7572,56.2,0.9,
20210406-130528,7540,60.0,0.9,7572,73.3,0.9,
20210406-130533,7540,60.0,0.9,7572,53.3,0.9,
20210406-130539,7540,0.0,0.9,7572,0.0,0.9,
20210406-130544,7540,0.0,0.9,7572,0.0,0.9,
20210406-130549,7540,0.0,0.9,7572,0.0,0.9,
20210406-130555,7540,0.0,0.9,7572,0.0,0.9,
20210406-130600,7540,0.0,0.9,7572,0.0,0.9,
20210406-130605,7540,0.0,0.9,7572,0.0,0.9,
20210406-130611,7540,60.0,0.9,7572,66.7,0.9,
20210406-130616,7540,60.0,0.9,7572,66.7,0.9,
20210406-130621,7540,60.0,0.9,7572,66.7,0.9,
20210406-130627,7540,60.0,0.9,7572,60.0,0.9,
20210406-130632,7540,53.3,0.9,7572,53.3,0.9,
20210406-130637,7540,53.3,0.9,7572,60.0,0.9,
20210406-130643,7540,0.0,0.9,7572,0.0,0.9,
20210406-130648,7540,0.0,0.9,7572,0.0,0.9,
20210406-130653,7540,0.0,0.9,7572,0.0,0.9,
20210406-130659,7540,0.0,0.9,7572,6.7,0.9,
20210406-130704,7540,0.0,0.9,7572,0.0,0.9,
20210406-130709,7540,60.0,0.9,7572,60.0,0.9,
20210406-130715,7540,66.7,0.9,7572,60.0,0.9,
20210406-130720,7540,53.3,0.9,7572,53.3,0.9,
20210406-130725,7540,60.0,0.9,7572,66.7,0.9,
20210406-130731,7540,66.7,0.9,7572,75.0,0.9,
20210406-130736,7540,62.5,0.9,7572,53.3,0.9,
20210406-130741,7540,0.0,0.9,7572,0.0,0.9,
20210406-130747,7540,0.0,0.9,7572,0.0,0.9,
20210406-130752,7540,0.0,0.9,7572,0.0,0.9,
20210406-130757,7540,0.0,0.9,7572,0.0,0.9,
20210406-130803,7540,0.0,0.9,7572,0.0,0.9,
20210406-130808,7540,0.0,0.9,7572,0.0,0.9,
