timestamp,pid1,cpu1,mem1,pid2,cpu2,mem2,kb_wrtn
20210413-170952,5741,0.0,0.9,5772,0.0,0.8,0
20210413-170958,5741,13.3,0.9,5772,6.7,0.8,888
20210413-171003,5741,53.3,0.9,5772,53.3,0.8,68
20210413-171008,5741,40.0,0.9,5772,53.3,0.8,64
20210413-171014,5741,46.7,0.9,5772,66.7,0.8,432
20210413-171019,5741,46.7,0.9,5772,40.0,0.8,40
20210413-171025,5741,46.7,0.9,5772,46.7,0.8,272
20210413-171030,5741,13.3,0.9,5772,6.7,0.8,328
20210413-171035,5741,6.7,0.9,5772,6.7,0.8,76
20210413-171041,5741,6.7,0.9,5772,6.7,0.8,44
20210413-171046,5741,6.7,0.9,5772,13.3,0.8,92
20210413-171051,5741,6.7,0.9,5772,13.3,0.8,40
20210413-171057,5741,13.3,0.9,5772,6.7,0.8,40
20210413-171102,5741,46.7,0.9,5772,40.0,0.8,616
20210413-171107,5741,40.0,0.9,5772,46.7,0.8,104
20210413-171113,5741,53.3,0.9,5772,53.3,0.8,48
20210413-171118,5741,46.7,0.9,5772,40.0,0.8,68
20210413-171123,5741,46.7,0.9,5772,46.7,0.8,104
20210413-171129,5741,53.3,0.9,5772,53.3,0.8,604
20210413-171134,5741,0.0,0.9,5772,6.2,0.8,120
20210413-171139,5741,6.7,0.9,5772,6.7,0.8,56
20210413-171145,5741,13.3,0.9,5772,6.7,0.8,64
20210413-171150,5741,13.3,0.9,5772,6.7,0.8,44
20210413-171155,5741,13.3,0.9,5772,6.7,0.8,48
20210413-171201,5741,50.0,0.9,5772,40.0,0.8,240
20210413-171206,5741,46.7,0.9,5772,53.3,0.8,424
20210413-171211,5741,46.7,0.9,5772,40.0,0.8,132
20210413-171217,5741,37.5,0.9,5772,40.0,0.8,396
20210413-171222,5741,33.3,0.9,5772,31.2,0.8,68
20210413-171228,5741,40.0,0.9,5772,40.0,0.8,40
20210413-171233,5741,6.7,0.9,5772,6.7,0.8,40
20210413-171238,5741,13.3,0.9,5772,6.2,0.8,48
20210413-171244,5741,6.7,0.9,5772,13.3,0.8,80
20210413-171249,5741,0.0,0.9,5772,6.2,0.8,260
20210413-171254,5741,6.7,0.9,5772,13.3,0.8,500
20210413-171300,5741,6.7,0.9,5772,46.7,0.8,60
20210413-171305,5741,43.8,0.9,5772,53.3,0.8,52
20210413-171310,5741,33.3,0.9,5772,46.7,0.8,40
20210413-171316,5741,46.7,0.9,5772,43.8,0.8,40
20210413-171321,5741,46.7,0.9,5772,40.0,0.8,252
20210413-171326,5741,60.0,0.9,5772,46.7,0.8,40
20210413-171332,5741,13.3,0.9,5772,6.7,0.8,492
20210413-171337,5741,13.3,0.9,5772,12.5,0.8,56
20210413-171342,5741,6.7,0.9,5772,6.7,0.8,512
20210413-171348,5741,13.3,0.9,5772,0.0,0.8,72
20210413-171353,5741,6.7,0.9,5772,6.7,0.8,40
20210413-171358,5741,6.7,0.9,5772,6.7,0.8,40
20210413-171404,5741,43.8,0.9,5772,46.7,0.8,88
20210413-171409,5741,40.0,0.9,5772,40.0,0.8,40
20210413-171414,5741,37.5,0.9,5772,40.0,0.8,268
20210413-171420,5741,43.8,0.9,5772,33.3,0.8,508
20210413-171425,5741,43.8,0.9,5772,46.7,0.8,40
20210413-171431,5741,6.7,0.9,5772,6.7,0.8,40
20210413-171436,5741,13.3,0.9,5772,6.7,0.8,48
20210413-171441,5741,6.7,0.9,5772,13.3,0.8,44
20210413-171447,5741,13.3,0.9,5772,6.7,0.8,260
20210413-171452,5741,6.7,0.9,5772,6.7,0.8,440
20210413-171457,5741,6.7,0.9,5772,6.7,0.8,1112
20210413-171503,5741,53.3,0.9,5772,53.3,0.8,40
20210413-171508,5741,50.0,0.9,5772,37.5,0.8,64
20210413-171513,5741,46.7,0.9,5772,43.8,0.8,432
20210413-171519,5741,37.5,0.9,5772,40.0,0.8,260
20210413-171524,5741,46.7,0.9,5772,53.3,0.8,232
20210413-171529,5741,40.0,0.9,5772,46.7,0.8,168
20210413-171535,5741,6.7,0.9,5772,6.7,0.8,84
20210413-171540,5741,6.7,0.9,5772,6.7,0.8,52
20210413-171545,5741,6.7,0.9,5772,13.3,0.8,248
20210413-171551,5741,6.7,0.9,5772,6.7,0.8,52
20210413-171556,5741,6.7,0.9,5772,0.0,0.8,380
20210413-171601,5741,46.7,0.9,5772,53.3,0.8,64
20210413-171607,5741,46.7,0.9,5772,33.3,0.8,156
20210413-171612,5741,40.0,0.9,5772,43.8,0.8,68
20210413-171617,5741,53.3,0.9,5772,33.3,0.8,260
20210413-171623,5741,37.5,0.9,5772,46.7,0.8,52
20210413-171628,5741,46.7,0.9,5772,40.0,0.8,40
20210413-171633,5741,6.7,0.9,5772,6.7,0.8,432
20210413-171639,5741,6.7,0.9,5772,6.7,0.8,72
20210413-171644,5741,6.7,0.9,5772,13.3,0.8,128
20210413-171649,5741,13.3,0.9,5772,6.7,0.8,260
20210413-171655,5741,6.7,0.9,5772,6.7,0.8,40
20210413-171700,5741,13.3,0.9,5772,6.7,0.8,60
20210413-171705,5741,33.3,0.9,5772,46.7,0.8,64
20210413-171711,5741,46.7,0.9,5772,46.7,0.8,516
20210413-171716,5741,53.3,0.9,5772,53.3,0.8,68
20210413-171722,5741,40.0,0.9,5772,33.3,0.8,360
20210413-171727,5741,46.7,0.9,5772,33.3,0.8,40
20210413-171732,5741,6.7,0.9,5772,6.2,0.8,52
20210413-171738,5741,6.7,0.9,5772,6.2,0.8,56
20210413-171743,5741,13.3,0.9,5772,6.7,0.8,384
20210413-171748,5741,13.3,0.9,5772,0.0,0.8,276
20210413-171754,5741,6.7,0.9,5772,0.0,0.8,236
20210413-171759,5741,6.7,0.9,5772,6.7,0.8,40
20210413-171804,5741,50.0,0.9,5772,53.3,0.8,52
20210413-171810,5741,46.7,0.9,5772,46.7,0.8,40
20210413-171815,5741,40.0,0.9,5772,40.0,0.8,400
20210413-171820,5741,46.7,0.9,5772,40.0,0.8,284
20210413-171826,5741,46.7,0.9,5772,37.5,0.8,44
20210413-171831,5741,53.3,0.9,5772,46.7,0.8,132
20210413-171837,5741,6.7,0.9,5772,6.7,0.8,72
20210413-171842,5741,6.7,0.9,5772,13.3,0.8,44
20210413-171847,5741,13.3,0.9,5772,6.7,0.8,368
20210413-171853,5741,13.3,0.9,5772,13.3,0.8,252
20210413-171858,5741,13.3,0.9,5772,6.7,0.8,72
20210413-171903,5741,40.0,0.9,5772,46.7,0.8,56
20210413-171909,5741,46.7,0.9,5772,33.3,0.8,180
20210413-171914,5741,33.3,0.9,5772,46.7,0.8,40
20210413-171919,5741,40.0,0.9,5772,46.7,0.8,40
20210413-171925,5741,40.0,0.9,5772,40.0,0.8,596
20210413-171930,5741,46.7,0.9,5772,46.7,0.8,52
20210413-171935,5741,6.7,0.9,5772,13.3,0.8,76
20210413-171941,5741,6.7,0.9,5772,6.7,0.8,128
20210413-171946,5741,13.3,0.9,5772,13.3,0.8,56
20210413-171951,5741,13.3,0.9,5772,6.2,0.8,1560
20210413-171957,5741,13.3,0.9,5772,6.7,0.8,84
20210413-172002,5741,13.3,0.9,5772,46.7,0.8,44
20210413-172007,5741,33.3,0.9,5772,46.7,0.8,52
20210413-172013,5741,40.0,0.9,5772,40.0,0.8,40
20210413-172018,5741,53.3,0.9,5772,46.7,0.8,396
20210413-172023,5741,40.0,0.9,5772,40.0,0.8,260
20210413-172029,5741,46.7,0.9,5772,46.7,0.8,356
20210413-172034,5741,6.7,0.9,5772,6.7,0.8,48
20210413-172039,5741,6.7,0.9,5772,6.7,0.8,44
20210413-172045,5741,6.7,0.9,5772,6.7,0.8,40
20210413-172050,5741,13.3,0.9,5772,6.2,0.8,40
20210413-172055,5741,6.7,0.9,5772,6.7,0.8,268
20210413-172101,5741,6.7,0.9,5772,13.3,0.8,40
20210413-172106,5741,53.3,0.9,5772,46.7,0.8,520
20210413-172112,5741,33.3,0.9,5772,46.7,0.8,40
20210413-172117,5741,33.3,0.9,5772,33.3,0.8,44
20210413-172122,5741,40.0,0.9,5772,46.7,0.8,40
20210413-172128,5741,40.0,0.9,5772,40.0,0.8,252
20210413-172133,5741,6.7,0.9,5772,6.7,0.8,48
20210413-172138,5741,6.7,0.9,5772,6.7,0.8,564
20210413-172144,5741,6.7,0.9,5772,6.7,0.8,60
20210413-172149,5741,13.3,0.9,5772,0.0,0.8,40
20210413-172154,5741,6.7,0.9,5772,6.7,0.8,244
20210413-172200,5741,13.3,0.9,5772,6.2,0.8,52
20210413-172205,5741,46.7,0.9,5772,40.0,0.8,52
20210413-172210,5741,46.7,0.9,5772,46.7,0.8,448
20210413-172216,5741,46.7,0.9,5772,46.7,0.8,80
20210413-172221,5741,40.0,0.9,5772,40.0,0.8,40
20210413-172226,5741,40.0,0.9,5772,40.0,0.8,544
20210413-172232,5741,46.7,0.9,5772,46.7,0.8,60
20210413-172237,5741,6.7,0.9,5772,6.7,0.8,48
20210413-172242,5741,6.7,0.9,5772,6.7,0.8,444
20210413-172248,5741,6.7,0.9,5772,6.2,0.8,84
20210413-172253,5741,6.7,0.9,5772,13.3,0.8,40
20210413-172258,5741,6.7,0.9,5772,6.7,0.8,76
20210413-172304,5741,46.7,0.9,5772,53.3,0.8,52
20210413-172309,5741,40.0,0.9,5772,43.8,0.8,40
20210413-172315,5741,46.7,0.9,5772,40.0,0.8,252
20210413-172320,5741,43.8,0.9,5772,46.7,0.8,512
20210413-172325,5741,46.7,0.9,5772,40.0,0.8,40
20210413-172331,5741,46.7,0.9,5772,46.7,0.8,40
20210413-172336,5741,13.3,0.9,5772,6.7,0.8,48
20210413-172341,5741,6.7,0.9,5772,6.7,0.8,252
20210413-172347,5741,6.7,0.9,5772,6.7,0.8,52
20210413-172352,5741,6.7,0.9,5772,6.7,0.8,452
20210413-172357,5741,6.2,0.9,5772,6.7,0.8,92
20210413-172403,5741,6.7,0.9,5772,6.7,0.8,48
20210413-172408,5741,6.7,0.9,5772,6.7,0.8,52
20210413-172413,5741,6.7,0.9,5772,6.7,0.8,240
20210413-172419,5741,13.3,0.9,5772,13.3,0.8,88
20210413-172424,5741,13.3,0.9,5772,6.7,0.8,40
20210413-172429,5741,6.7,0.9,5772,13.3,0.8,484
20210413-172435,5741,13.3,0.9,5772,13.3,0.8,40
20210413-172440,5741,13.3,0.9,5772,6.7,0.8,56
20210413-172445,5741,6.7,0.9,5772,13.3,0.8,564
20210413-172451,5741,6.7,0.9,5772,13.3,0.8,48
20210413-172456,5741,6.7,0.9,5772,6.7,0.8,980
20210413-172501,5741,6.2,0.9,5772,6.7,0.8,40
20210413-172507,5741,13.3,0.9,5772,13.3,0.8,52
20210413-172512,5741,13.3,0.9,5772,6.7,0.8,48
20210413-172517,5741,6.7,0.9,5772,6.7,0.8,264
20210413-172523,5741,13.3,0.9,5772,6.7,0.8,628
20210413-172528,5741,6.7,0.9,5772,6.2,0.8,60
20210413-172533,5741,13.3,0.9,5772,6.7,0.8,40
20210413-172539,5741,6.7,0.9,5772,13.3,0.8,48
