timestamp,pid1,cpu1,mem1,pid2,cpu2,mem2,kb_wrtn
20210414-152533,17892,0.0,0.9,17922,0.0,0.8,568
20210414-152539,17892,0.0,0.9,17922,0.0,0.8,356
20210414-152544,17892,66.7,0.9,17922,46.7,0.8,39604
20210414-152549,17892,66.7,0.9,17922,60.0,0.8,156
20210414-152555,17892,26.7,0.9,17922,20.0,0.8,58712
20210414-152600,17892,20.0,0.9,17922,20.0,0.8,192256
20210414-152605,17892,46.7,0.9,17922,37.5,0.8,56
20210414-152611,17892,0.0,0.9,17922,0.0,0.8,56
20210414-152616,17892,0.0,0.9,17922,0.0,0.8,68
20210414-152621,17892,0.0,0.9,17922,0.0,0.8,36
20210414-152627,17892,0.0,0.9,17922,0.0,0.8,39352
20210414-152632,17892,0.0,0.9,17922,0.0,0.8,81628
20210414-152637,17892,0.0,0.9,17922,0.0,0.8,200
20210414-152643,17892,0.0,0.9,17922,0.0,0.8,56
20210414-152648,17892,73.3,0.9,17922,73.3,0.8,76
20210414-152653,17892,46.7,0.9,17922,12.5,0.8,56
20210414-152659,17892,25.0,0.9,17922,33.3,0.8,45192
20210414-152704,17892,20.0,0.9,17922,13.3,0.8,208644
20210414-152709,17892,20.0,0.9,17922,33.3,0.8,124
20210414-152715,17892,6.2,0.9,17922,0.0,0.8,56
20210414-152720,17892,0.0,0.9,17922,0.0,0.8,72
20210414-152725,17892,0.0,0.9,17922,0.0,0.8,56
20210414-152731,17892,0.0,0.9,17922,0.0,0.8,72
20210414-152736,17892,0.0,0.9,17922,0.0,0.8,82408
20210414-152741,17892,6.7,0.9,17922,0.0,0.8,168
20210414-152747,17892,0.0,0.9,17922,0.0,0.8,40
20210414-152752,17892,60.0,0.9,17922,66.7,0.8,60
20210414-152757,17892,13.3,0.9,17922,40.0,0.8,72
20210414-152803,17892,6.2,0.9,17922,20.0,0.8,1048
20210414-152808,17892,33.3,0.9,17922,6.7,0.8,32384
20210414-152813,17892,13.3,0.9,17922,20.0,0.8,31044
20210414-152819,17892,26.7,0.9,17922,18.8,0.8,182920
20210414-152824,17892,0.0,0.9,17922,0.0,0.8,30900
20210414-152829,17892,6.7,0.9,17922,0.0,0.8,44
20210414-152835,17892,0.0,0.9,17922,0.0,0.8,36
20210414-152840,17892,0.0,0.9,17922,0.0,0.8,32
20210414-152845,17892,0.0,0.9,17922,0.0,0.8,9392
20210414-152851,17892,0.0,0.9,17922,0.0,0.8,5472
20210414-152856,17892,66.7,0.9,17922,6.7,0.8,636
20210414-152902,17892,6.7,0.9,17922,40.0,0.8,92
20210414-152907,17892,20.0,0.9,17922,0.0,0.8,60
20210414-152912,17892,53.3,0.9,17922,53.3,0.8,56
20210414-152918,17892,40.0,0.9,17922,20.0,0.8,15796
20210414-152923,17892,0.0,0.9,17922,60.0,0.8,225024
20210414-152928,17892,6.7,0.9,17922,0.0,0.8,172
20210414-152934,17892,0.0,0.9,17922,6.7,0.8,108
20210414-152939,17892,0.0,0.9,17922,0.0,0.8,36
20210414-152944,17892,0.0,0.9,17922,0.0,0.8,36
20210414-152949,17892,0.0,0.9,17922,0.0,0.8,7060
20210414-152955,17892,0.0,0.9,17922,0.0,0.8,26156
20210414-153000,17892,0.0,0.9,17922,0.0,0.8,256
20210414-153005,17892,13.3,0.9,17922,26.7,0.8,84
20210414-153011,17892,26.7,0.9,17922,13.3,0.8,56
20210414-153016,17892,13.3,0.9,17922,13.3,0.8,56
20210414-153021,17892,26.7,0.9,17922,26.7,0.8,68
20210414-153027,17892,25.0,0.9,17922,33.3,0.8,45132
20210414-153032,17892,0.0,0.9,17922,0.0,0.8,202144
20210414-153037,17892,0.0,0.9,17922,0.0,0.8,88
20210414-153043,17892,0.0,0.9,17922,0.0,0.8,36
20210414-153048,17892,0.0,0.9,17922,0.0,0.8,36
20210414-153053,17892,0.0,0.9,17922,0.0,0.8,40
20210414-153059,17892,0.0,0.9,17922,0.0,0.8,68
20210414-153104,17892,0.0,0.9,17922,0.0,0.8,8112
20210414-153109,17892,80.0,0.9,17922,68.8,0.8,516
20210414-153115,17892,60.0,0.9,17922,50.0,0.8,64
20210414-153120,17892,20.0,0.9,17922,20.0,0.8,75516
20210414-153126,17892,6.7,0.9,17922,31.2,0.8,169700
20210414-153131,17892,40.0,0.9,17922,20.0,0.8,18524
20210414-153136,17892,26.7,0.9,17922,6.2,0.8,56
20210414-153142,17892,0.0,0.9,17922,0.0,0.8,68
20210414-153147,17892,0.0,0.9,17922,0.0,0.8,56
20210414-153152,17892,0.0,0.9,17922,0.0,0.8,57960
20210414-153158,17892,0.0,0.9,17922,0.0,0.8,72200
20210414-153203,17892,0.0,0.9,17922,0.0,0.8,648
20210414-153208,17892,0.0,0.9,17922,0.0,0.8,88
20210414-153214,17892,66.7,0.9,17922,40.0,0.8,64
20210414-153219,17892,26.7,0.9,17922,26.7,0.8,148
20210414-153224,17892,33.3,0.9,17922,33.3,0.8,68
20210414-153230,17892,37.5,0.9,17922,40.0,0.8,56
20210414-153235,17892,40.0,0.9,17922,60.0,0.8,40784
20210414-153240,17892,20.0,0.9,17922,25.0,0.8,49488
20210414-153246,17892,0.0,0.9,17922,0.0,0.8,192812
20210414-153251,17892,0.0,0.9,17922,0.0,0.8,60
20210414-153256,17892,0.0,0.9,17922,0.0,0.8,36
20210414-153302,17892,0.0,0.9,17922,0.0,0.8,976
20210414-153307,17892,0.0,0.9,17922,0.0,0.8,36
20210414-153312,17892,0.0,0.9,17922,0.0,0.8,11944
20210414-153318,17892,0.0,0.9,17922,0.0,0.8,340
20210414-153323,17892,0.0,0.9,17922,0.0,0.8,80
20210414-153328,17892,0.0,0.9,17922,0.0,0.8,60
20210414-153334,17892,6.7,0.9,17922,0.0,0.8,56
20210414-153339,17892,0.0,0.9,17922,6.7,0.8,344
20210414-153344,17892,0.0,0.9,17922,6.7,0.8,88
20210414-153350,17892,6.7,0.9,17922,0.0,0.8,24008
20210414-153355,17892,6.7,0.9,17922,0.0,0.8,148
20210414-153400,17892,6.7,0.9,17922,0.0,0.8,80
20210414-153406,17892,6.7,0.9,17922,12.5,0.8,64
20210414-153411,17892,0.0,0.9,17922,6.7,0.8,56
20210414-153416,17892,5.9,0.9,17922,6.2,0.8,468
20210414-153422,17892,0.0,0.9,17922,6.7,0.8,22940
20210414-153427,17892,0.0,0.9,17922,0.0,0.8,280
20210414-153432,17892,0.0,0.9,17922,0.0,0.8,84
20210414-153438,17892,0.0,0.9,17922,0.0,0.8,64
20210414-153443,17892,0.0,0.9,17922,0.0,0.8,48
20210414-153448,17892,6.2,0.9,17922,0.0,0.8,56
20210414-153454,17892,0.0,0.9,17922,0.0,0.8,3524
20210414-153459,17892,6.7,0.9,17922,6.7,0.8,240
20210414-153504,17892,6.7,0.9,17922,6.7,0.8,200
20210414-153510,17892,0.0,0.9,17922,0.0,0.8,76
20210414-153515,17892,0.0,0.9,17922,6.7,0.8,60
20210414-153520,17892,6.7,0.9,17922,6.7,0.8,100
20210414-153526,17892,0.0,0.9,17922,6.7,0.8,4048
20210414-153531,17892,6.7,0.9,17922,0.0,0.8,18092
20210414-153536,17892,0.0,0.9,17922,13.3,0.8,232
20210414-153542,17892,6.7,0.9,17922,0.0,0.8,68
20210414-153547,17892,6.7,0.9,17922,0.0,0.8,100
20210414-153552,17892,6.7,0.9,17922,6.7,0.8,72
20210414-153558,17892,6.7,0.9,17922,0.0,0.8,22984
20210414-153603,17892,0.0,0.9,17922,6.7,0.8,528
20210414-153608,17892,0.0,0.9,17922,0.0,0.8,96
20210414-153614,17892,0.0,0.9,17922,0.0,0.8,276
20210414-153619,17892,0.0,0.9,17922,0.0,0.8,60
20210414-153624,17892,0.0,0.9,17922,0.0,0.8,52
20210414-153630,17892,0.0,0.9,17922,0.0,0.8,5808
20210414-153635,17892,0.0,0.9,17922,0.0,0.8,472
20210414-153640,17892,26.7,0.9,17922,46.7,0.8,108
20210414-153646,17892,25.0,0.9,17922,40.0,0.8,116
20210414-153651,17892,53.3,0.9,17922,46.7,0.8,236
20210414-153656,17892,33.3,0.9,17922,50.0,0.8,40096
20210414-153702,17892,46.7,0.9,17922,33.3,0.8,178108
20210414-153707,17892,26.7,0.9,17922,13.3,0.8,196
20210414-153712,17892,0.0,0.9,17922,0.0,0.8,620
20210414-153718,17892,0.0,0.9,17922,0.0,0.8,668
20210414-153723,17892,0.0,0.9,17922,0.0,0.8,128
20210414-153728,17892,0.0,0.9,17922,0.0,0.8,24100
20210414-153734,17892,0.0,0.9,17922,0.0,0.8,46416
20210414-153739,17892,0.0,0.9,17922,0.0,0.8,500
20210414-153744,17892,66.7,0.9,17922,6.2,0.8,76
20210414-153750,17892,46.7,0.9,17922,66.7,0.8,144
20210414-153755,17892,33.3,0.9,17922,46.7,0.8,56
20210414-153800,17892,13.3,0.9,17922,23.5,0.8,64
